id;name;address;contact_number;email;website
1;psst;untidy unfinished;yowza;"!BCw@Q9a&.e";fat oof
2;gadzooks denationalize;meh drat;knowingly among quaintly;"M@tZ>#Jw.c";right
3;gee ill;absent;arid;"a@mdX.<";unsubscribe taste marginalise
4;near like;mad toward by;although murky gadzooks;"~.@^r8?^.^";submissive following
5;even;how drat but;through onto yesterday;"el@ns!c.3Ym";enshroud tailgate
6;among yesterday;whose;if aha post;"Cndc@6KC.p1M!";from gleefully
7;into generally;save excitedly bustle;blah;"\p7^ca@%.s*SNll";however thoughtfully
8;less;zowie barring ew;turf worse;"H|sv@&~9-/.v:5";along
9;yet;instead;sunset camouflage whether;"gL&R@}-u265.`xsHk8";huzzah since
10;instructor whoa;ah;easily;"T_k#@z)&2&3.q1\QrA";disable yet boohoo
