id;booking_date;start_date;end_date;status;total_price
1;2024-08-26T01:18:07;2024-08-26T07:11:33;2024-08-25T23:10:02;CANCELLED;28097.77
2;2024-08-26T16:44:37;2024-08-26T08:11:51;2024-08-26T19:45:59;PENDING;3279.29
3;2024-08-26T05:53:23;2024-08-26T13:38:14;2024-08-26T15:07:40;CANCELLED;20251.53
4;2024-08-26T16:50:14;2024-08-26T09:03:51;2024-08-26T08:02:37;PENDING;14380.83
5;2024-08-26T05:32:24;2024-08-26T08:04:23;2024-08-26T08:48:14;CANCELLED;10905.25
6;2024-08-26T13:57:23;2024-08-26T07:32:36;2024-08-26T00:13:27;CANCELLED;13671.02
7;2024-08-26T10:38:04;2024-08-26T10:51:22;2024-08-26T07:07:56;CANCELLED;31517.61
8;2024-08-26T15:37:51;2024-08-25T20:05:22;2024-08-26T08:22:33;PENDING;9595.83
9;2024-08-25T22:01:03;2024-08-25T21:48:34;2024-08-26T18:04:18;CONFIRMED;28080.76
10;2024-08-26T05:30:57;2024-08-26T19:10:02;2024-08-26T03:28:06;CANCELLED;4688.23
