id;code;name;symbol;exchange_rate;is_default
1;amidst;woo;sleepiness;25320.78;false
2;failing lamp ick;scratchy institution;mmm;22422.41;true
3;wherever anenst oof;speedily;front;28671.47;true
4;sign contract;silly swamp;wherever bah;18932.97;false
5;mmm unnaturally;unkempt yippee raffle;ouch gosh drafty;10688.17;false
6;starry;canoe;amount brr softly;12358.44;false
7;finally obscure;justly skyscraper yowza;where not yet;20542.69;false
8;after;till;victoriously save;23580.74;false
9;knottily;oof;rubberneck notwithstanding;28338.24;false
10;instantly without;modulo;dissipate enjoyment joyously;32118.09;true
