id;name;address;star_rating;contact_number;email;country_code;city_code;image_url
1;notwithstanding;even bespatter;1;concerning;"w@d3,/n%.ZV";TC;banner type;helplessly to
2;seemingly;boo nicely;2;blah past;"&1@#m./I3Kf";BE;dress although;till
3;unsteady;ha refrain demonize;1;content interpreter;"F@:[u.P#y";UA;for network;yuck
4;desecrate brief;midst badly seriously;4;amid indeed;"x@`OF;BZ.pm=zHI";TK;however;inquisitively
5;round beneath;tough-guy gain;1;like along;"J/@L#.nXa(";PS;provided consul grouchy;brain irritably
6;finally constraint;gosh;5;box speedily infamous;")L5@Hr`j.NJ_HV";ST;govern hazelnut;irresponsible daily gosh
7;excluding disincentivise whisper;aw;2;ah afore big-hearted;"'4(Xz\@si.Ue{h";IL;gadzooks;ew plus vainly
8;infringe buddy;blindly;3;gosh yet sleepy;"|@A.Z/9lX";GS;at oof;presuppose
9;than from;unnecessarily;3;among;"A~Q)Y[@=Rt8.z7engr";PH;piece without uselessly;loftily empathize
10;teeming;dole ah;4;clearly fillet;"Y@>}/.m(_J<";BH;righteously trial aha;ick why
