id;room_number;type;description;discount_percentage
1;softly yet;FAMILY;../fake-data/blob/hipster.txt;55.41
2;newspaper migrate;FAMILY;../fake-data/blob/hipster.txt;35.36
3;under pepper;FAMILY;../fake-data/blob/hipster.txt;23.36
4;tranquilize instead eek;SINGLE;../fake-data/blob/hipster.txt;48.63
5;standing psst;FAMILY;../fake-data/blob/hipster.txt;57.24
6;live eek versus;DOUBLE;../fake-data/blob/hipster.txt;51.77
7;so reply psst;SINGLE;../fake-data/blob/hipster.txt;20.07
8;ouch zowie;SINGLE;../fake-data/blob/hipster.txt;38.34
9;pish;SINGLE;../fake-data/blob/hipster.txt;69.43
10;but;SUITE;../fake-data/blob/hipster.txt;5.57
