id;price;from_date;to_date
1;29205.49;2024-08-26T09:08:42;2024-08-26T09:17:46
2;29830.86;2024-08-25T20:44:53;2024-08-26T17:35:02
3;32448.18;2024-08-26T12:06:04;2024-08-26T08:02:49
4;18912.56;2024-08-26T02:26:18;2024-08-26T04:05:44
5;19350.63;2024-08-25T23:01:34;2024-08-26T10:36:36
6;30759.99;2024-08-26T16:16:22;2024-08-26T13:56:50
7;11065.09;2024-08-26T19:25:04;2024-08-26T19:10:32
8;3098.97;2024-08-26T16:22:01;2024-08-25T22:59:15
9;10726.26;2024-08-26T06:16:44;2024-08-26T19:16:51
10;871.75;2024-08-26T15:51:35;2024-08-26T13:32:20
