id;name;description;price;duration_days;available
1;or down;poach;9963.72;14223;false
2;till exactly restrain;especially;23404.52;4654;true
3;hydrocarb;but;10173.49;29982;false
4;an ouch;scrap;12676.17;28183;false
5;dutiful absent dangerous;profuse;26371.79;3572;true
6;down ew;pole needily;10326.23;11004;false
7;happily hence woot;viciously outside till;21212.72;10998;false
8;ick fluffy;uh-huh geez;17411.92;29366;false
9;anenst;venture;15712.68;11308;true
10;tomorrow prudent;crisp whole obediently;6274.88;21789;true
